event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2017-05-24 20:14:00,"Major road artery to the Palinpinon geothermal power plant, Valencia, Negros Oriental",9.309786719,123.2109112,landslide,medium,continuous_rain,0,0
2017-05-28 13:34:00,"Barangay Light, Peurto Princessa, Palawan",9.94928114,118.8014459,landslide,medium,rain,5,0
2017-06-09 13:27:00,"on Highway 40, 10km north of Grande Cache",53.98572214,-119.1365358,mudslide,small,rain,0,0
2017-05-28 13:34:00,Near Titlow Park in Tacoma,47.25158303,-122.5511059,landslide,small,unknown,0,0
2017-06-03 13:20:00,Vidyamohan Chowdhury Para (???) of remote Dhalai district,23.86469956,91.8949662,landslide,medium,continuous_rain,3,1
2017-05-23 20:14:00,Hunan Xupu County Yang Jiatan village,27.63630585,110.7318885,mudslide,medium,rain,0,5
2017-06-06 13:27:00,Muniyali village (?) near Nadprayag,30.33597362,79.31958144,landslide,small,rain,1,1
2016-08-09 13:37:00,"Mugu, Nepal",29.48,82.2896,landslide,large,flooding,0,0
2017-05-29 13:34:00,"5880 Zebulon Hwy, Pikeville, Kentucky, 41501",37.54560113,-82.46374308,rock_fall,small,unknown,0,0
2016-08-16 12:40:00,"Highway 87, near Doa Goan, Uttarakhand",29.350849,79.451264,landslide,medium,rain,0,0
2017-06-30 13:20:00,"Hua Shan, Chongxi Twp, Yunnan Province, China",26.74386788,103.0563058,landslide,small,downpour,0,0
2017-06-11 13:27:00,On a road in the town of Kumta,14.42827957,74.41606625,landslide,medium,rain,3,7
2017-06-12 13:27:00,"Ottinene, on NH66 in Udupi District/Uttar Kannada",13.87803507,74.6246332,landslide,small,rain,0,0
2017-06-02 04:00:00,In the direction coming from the Fifth Settlement axis to Nasr City,30.0283327,31.37246273,landslide,small,unknown,0,0
2017-06-21 13:15:00,"Willow Creek Road, near Bitterroot Natl Forest",46.29169767,-113.9595385,landslide,small,unknown,0,0
